molecule_chembl_id,clean_smiles,pIC50
CHEMBL109515,COCCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCCOC,5.95999928552668
CHEMBL1095154,NCCc1cn(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,5.886056647693163
CHEMBL1095259,N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c(Br)[nH]2)N1,4.350275814070478
CHEMBL1095445,Nc1nc(Nc2cccc(C(F)(F)F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,4.565431095965801
CHEMBL1095463,CC(C)c1ccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)cc1,4.341035157335565
CHEMBL1095464,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1,5.036684488613889
CHEMBL1095465,COc1ccc(OC)c(Cc2cc3c(Nc4cccc(Br)c4)nc(N)nc3[nH]2)c1,4.89928504998716
CHEMBL109575,COc1cc2ncc(C#N)c(Nc3ccccc3Br)c2cc1OC,5.380000399499541
CHEMBL1095761,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,6.668621084159213
CHEMBL1095776,CC(C)c1ccccc1Nc1nc(N)nc2[nH]c(Cc3ccc(Cl)cc3Cl)cc12,4.015922966097169
CHEMBL1095957,NCCc1c[nH]c2ccc(OCCc3ccc(O)cc3)cc12,5.684029654543083
CHEMBL109625,COc1cc2ncc(C#N)c(Nc3cccc(C(C)C)c3)c2cc1OC,4.210000001311122
CHEMBL109631,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)O)c3)nc21,6.721246399047171
CHEMBL1097189,NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCc2ccccc2)C1,5.6020599913279625
CHEMBL1097190,NC1CCc2[nH]c3ccc(OCCc4ccc(O)cc4)cc3c2C1,4.820448208834812
CHEMBL1097368,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1,4.251037138743839
CHEMBL1098119,NCCc1cn(CCCCCc2ccccc2)c2ccc(OCCc3ccc(O)cc3)cc12,5.787812395596042
CHEMBL1098120,NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccccc2)C1,5.997839313108679
CHEMBL1098121,COc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1,5.356547323513812
CHEMBL110035,COc1cc2ncc(C#N)c(Nc3cccc(N(C)C)c3)c2cc1OC,6.069998998990925
CHEMBL110036,COc1cc2ncc(C#N)c(Nc3cccc(N)c3)c2cc1OC,6.090000275786018
CHEMBL110055,COc1cc2ncc(C#N)c(Nc3ccc(Br)c(C)c3)c2cc1OC,6.209996479609511
CHEMBL110062,N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCO3,5.169999984192581
CHEMBL110065,CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,4.480000028175458
CHEMBL110577,COc1cc2ncc(C#N)c(Nc3cccc(O)c3)c2cc1OC,5.200000237109354
CHEMBL110945,COc1cc2ncc(C#N)c(Nc3ccc(O)c(Cl)c3)c2cc1OC,5.039999923502186
CHEMBL111033,COc1cc2ncc(C#N)c(Nc3cccc(C#N)c3)c2cc1OC,4.849999859991125
CHEMBL111038,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,6.721246399047171
CHEMBL111197,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,7.522878745280337
CHEMBL111222,COCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCOC,5.169999984192581
CHEMBL111307,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Br)c3)c2cc1OC,5.749999855918706
CHEMBL111339,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,6.318758762624412
CHEMBL111365,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,5.886056647693163
CHEMBL111434,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,6.173925197299173
CHEMBL111443,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,4.6700000181810175
CHEMBL111520,COc1cc2ncc(C#N)c(Nc3cccc([N+](=O)[O-])c3)c2cc1OC,6.060001790087838
CHEMBL111586,N#Cc1cnc2cc(O)c(O)cc2c1Nc1cccc(Br)c1,6.459996055149973
CHEMBL111664,COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3F)c2cc1OC,4.860000083248981
CHEMBL111688,COc1cc2ncc(C#N)c(Nc3ccc(F)c(C(F)(F)F)c3)c2cc1OC,6.799998134593398
CHEMBL112096,COc1cc2ncc(C#N)c(Nc3ccccc3C(C)C)c2cc1OC,6.439997673226633
CHEMBL112225,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3C)c2cc1OC,6.0800019690359814
CHEMBL112925,Nc1ccc(-c2cc(=O)c3cc(N)ccc3o2)cc1,5.060480747381382
CHEMBL113023,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,6.6020599913279625
CHEMBL113070,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21,7.096910013008056
CHEMBL113185,COc1cc(Nc2nccc(-c3ccc(NCCN)nc3)n2)cc(OC)c1OC,5.292429823902063
CHEMBL113535,COc1cc2ncc(C#N)c(Nc3cccc(N=[N+]=[N-])c3)c2cc1OC,5.660000322371772
CHEMBL113863,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)O)nc21,6.0
CHEMBL113900,CC(C)N(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)C(C)C,6.6020599913279625
CHEMBL113901,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N(C)C,5.281164938934447
CHEMBL113902,C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,5.122469246653817
CHEMBL113985,COc1cc(NC(=O)/C=C/CN2CCOCC2)cc2c(Nc3cccc(Br)c3)c(C#N)cnc12,5.268411234813262
CHEMBL113996,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,4.866940621985023
CHEMBL114073,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N1CCOCC1,4.974899087313872
CHEMBL114392,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,5.568636235841013
CHEMBL114446,COc1cc2ncc(C(N)=O)c(Nc3cccc(Br)c3)c2cc1OC,4.820000071285178
CHEMBL114490,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,5.632255897816993
CHEMBL114496,COc1cc2ncc(C#N)c(Nc3cccc(SC)c3)c2cc1OC,6.119998611678231
CHEMBL114593,COCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,6.017728766960431
CHEMBL114728,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN(C)C,5.795880017344075
CHEMBL115187,CCCN(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)CCC,6.886056647693163
CHEMBL115440,COCCOCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,6.031517051446065
CHEMBL115519,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3cc(Cl)ccc3s2)c1O,5.346787486224656
CHEMBL115745,COc1cc2ncnc(NCc3ccccc3)c2cc1O,7.251811972993799
CHEMBL115895,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O,4.852878707955288
CHEMBL116012,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,4.986741539001818
CHEMBL1161234,COc1cc(/C=C(\C#N)C(N)=O)cc(SCCCC(=O)O)c1O,4.319999993033794
CHEMBL1161236,COc1cc(C=C(C#N)C#N)cc(SCC(=O)O)c1O,4.2699999970646445
CHEMBL116308,O=[N+]([O-])c1cccc2ncnc(Nc3cccc(Br)c3)c12,6.449771646944906
CHEMBL116423,Cc1cc(C=C(C#N)C#N)cc(O)c1O,4.548028324502143
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,5.0655015487564325
CHEMBL116525,CC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,6.04047950368785
CHEMBL116547,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O,5.698970004336019
CHEMBL116595,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2)c1O,6.301029995663981
CHEMBL116748,O=[N+]([O-])c1ccc2c(NCc3ccccc3)ncnc2c1,5.229147988357856
CHEMBL116853,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)C#CCN(C)C,7.045757490560675
CHEMBL116857,COc1cc(NC(=O)/C=C/CN(C)C)cc2c(Nc3cccc(Br)c3)c(C#N)cnc12,5.540303869295251
CHEMBL116919,COc1ccc(CNc2ncnc3ccccc23)cc1,5.0
CHEMBL1169856,Cc1ccc(C2=NN(C(N)=S)C(c3ccccc3F)C2)cc1C,5.284832642151542
CHEMBL1169870,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(Cl)cc1,5.088842391260023
CHEMBL1170278,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc2ccccc12,5.411168274405793
CHEMBL1170459,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc2ccccc2c1,5.239577516576788
CHEMBL1171273,COc1ccccc1/C=C/C(=O)OCCn1c([N+](=O)[O-])cnc1C,4.494850021680094
CHEMBL1171638,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccccc1Cl,4.667965722972482
CHEMBL1171792,Cc1ccc(Br)c2c(C#N)cc(C(=O)C3CC3)n12,7.070581074285707
CHEMBL1171822,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(C)cc1,4.713992877920526
CHEMBL1172418,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Cl,4.617082864912469
CHEMBL1172419,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1,4.542269451754001
CHEMBL1172573,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(F)cc1,5.202732459169283
CHEMBL1172602,COc1cc(OC)cc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(C)=O)c1,4.593971055036385
CHEMBL1172603,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(F)cc1,4.80799040734633
CHEMBL1172773,C=CC(=O)Nc1ccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)cc1,7.086186147616283
CHEMBL1172781,OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)c1ccccc1,6.651695136951839
CHEMBL1172802,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(F)cc1,5.3851027839668655
CHEMBL1172803,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Cl)cc1,5.441291429466834
CHEMBL1172823,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(F)cc1,5.049635145623877
CHEMBL1172843,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,7.6338031200885155
CHEMBL1172855,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(Br)cc1,4.997402019280091
CHEMBL1172877,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1F,4.572838597074035
